DBH,H,BA,VUB
25.8,26.1,0.052,0.56
29.7,26.1,0.069,0.74
27.2,23.2,0.058,0.56
9.3,11.3,0.007,0.03
30.8,20.1,0.075,0.63
29.2,22.6,0.067,0.63
24.8,20.9,0.048,0.42
38.2,23.8,0.115,1.12
29.4,29.9,0.068,0.82
32.3,36.4,0.082,1.19
35.3,33.6,0.098,1.32
13.1,15.6,0.013,0.09
24.6,23.4,0.048,0.46
19,20.1,0.028,0.24
10,11.3,0.008,0.04
22.6,25.5,0.04,0.42
27.1,30,0.058,0.7
8.4,16.8,0.006,0.04
28.4,32.6,0.063,0.83
24.8,32.4,0.048,0.62
14.5,20.7,0.017,0.14
7.8,13,0.005,0.03
21.8,27,0.037,0.41
17,20.1,0.023,0.19
18,23,0.025,0.24
10.3,27.1,0.008,0.09
10,13.7,0.008,0.05
5.7,10.4,0.003,0.01
17.8,23.6,0.025,0.24
13.9,20,0.015,0.13
21.8,21,0.037,0.33
27.2,27.7,0.058,0.65
18.2,20,0.026,0.22
13.2,24.1,0.014,0.13
27.1,18.3,0.058,0.44
19.3,23.1,0.029,0.28
13.6,14.4,0.015,0.09
19,23.3,0.028,0.27
21.3,24.1,0.036,0.35
23.2,24.1,0.042,0.42
28.4,24.7,0.063,0.64
17.3,15.8,0.024,0.16
7.8,13.7,0.005,0.03
13.8,17.7,0.015,0.11
24,28.8,0.045,0.53
16.2,27.5,0.021,0.23
16.5,20.1,0.021,0.18
20.1,22.6,0.032,0.3
29.6,29.9,0.069,0.83
32.8,28.4,0.084,0.97
31.3,29.6,0.077,0.92
17.2,21.9,0.023,0.21
25.7,28,0.052,0.59
22.1,30.9,0.038,0.47
32.8,29.4,0.084,1
19.2,23.7,0.029,0.28
22.3,27.4,0.039,0.43
27.7,29.9,0.06,0.73
19,25.5,0.028,0.29
19.4,29.8,0.03,0.35
24.6,30.1,0.048,0.57
21,20.4,0.035,0.29
32.9,38.4,0.085,1.29
20.4,25.9,0.033,0.34
16.8,23.8,0.022,0.22
31.9,35.1,0.08,1.12
19.3,24.7,0.029,0.3
32.7,34.7,0.084,1.16
18.5,20.1,0.027,0.23
14.1,20.6,0.016,0.13
18.5,26.2,0.027,0.29
35.7,38.8,0.1,1.54
33.8,37.9,0.09,1.35
22,26.5,0.038,0.41
21.6,25.6,0.037,0.38
25.5,27.4,0.051,0.57
27.3,31,0.059,0.73
49.5,36.8,0.192,2.84
24.7,32.6,0.048,0.62
20.5,15.5,0.033,0.22
39,26.4,0.119,1.29
9,4.5,0.006,0.02
8.9,6.3,0.006,0.02
6.8,3.8,0.004,0.01
7.7,6.7,0.005,0.02
15.5,18.1,0.019,0.14
21.5,21.4,0.036,0.32
19.3,20.3,0.029,0.25
13.2,19.1,0.014,0.11
12.5,8.9,0.012,0.05
5.9,3.1,0.003,0.01
14.2,12.3,0.016,0.09
9.5,12.2,0.007,0.04
9.5,11.2,0.007,0.04
34.2,27.5,0.092,1.03
29.8,27.9,0.07,0.79
31.8,25.2,0.079,0.82
30.5,22.4,0.073,0.68
30.1,28.8,0.071,0.83
21.3,23.7,0.036,0.35
21.8,22.5,0.037,0.35
24,34.2,0.045,0.61
29.3,19.6,0.067,0.55
18.5,15.7,0.027,0.18
21.5,22,0.036,0.33
17.1,13.7,0.023,0.14
25.7,20,0.052,0.43
18.8,16.9,0.028,0.2
28.7,26.7,0.065,0.7
24.5,25.8,0.047,0.5
18,15.3,0.025,0.17
21.5,18.9,0.036,0.29
22.6,16.5,0.04,0.28
22.5,22.7,0.04,0.37
21,14.4,0.035,0.22
21,18.8,0.035,0.27
24,20.9,0.045,0.39
16.5,13.5,0.021,0.13
23.1,21.2,0.042,0.37
14,6.8,0.015,0.05
24.5,12.2,0.047,0.25
23.1,29.2,0.042,0.49
30.4,24.9,0.073,0.74
26.7,19.6,0.056,0.46
22.7,33.9,0.04,0.54
30.4,29.8,0.073,0.87
15.6,24.3,0.019,0.19
17.7,20.1,0.025,0.21
12,7.1,0.011,0.04
15.9,26.4,0.02,0.21
14.9,18.4,0.017,0.14
33.1,34.1,0.086,1.17
20.3,30,0.032,0.39
18.9,23.7,0.028,0.27
24.3,34.7,0.046,0.64
24.7,24.3,0.048,0.48
22.3,28.1,0.039,0.44
22.6,36.9,0.04,0.58
13.9,15.4,0.015,0.1
18.3,20.6,0.026,0.23
17.8,27.3,0.025,0.27
24.1,34,0.046,0.62
18.9,21.5,0.028,0.25
17.8,16.3,0.025,0.17
13.3,13.2,0.014,0.08
18.3,15.9,0.026,0.18
18.1,13.5,0.026,0.15
21,23.7,0.035,0.34
27,19.8,0.057,0.47
18,20.3,0.025,0.22
15.8,14.5,0.02,0.12
14,14,0.015,0.09
25.9,17.7,0.053,0.39
27.3,27.2,0.059,0.65
26,19.2,0.053,0.43
13.5,16.8,0.014,0.1
19.1,24.4,0.029,0.29
15.7,20,0.019,0.16
26,21.7,0.053,0.48
20,21.8,0.031,0.28
28.8,24.6,0.065,0.66
15.8,17.2,0.02,0.14
19,18.1,0.028,0.22
12.8,12.5,0.013,0.07
20.1,25.7,0.032,0.33
20,23.5,0.031,0.3
19,17.4,0.028,0.21
34.3,27.2,0.092,1.02
30.4,37.1,0.073,1.07
20.7,27.2,0.034,0.37
30,19.8,0.071,0.59
36.3,24.6,0.103,1.05
29.2,23,0.067,0.64
16.3,14.7,0.021,0.13
40.9,25.8,0.131,1.39
33.4,29.5,0.088,1.05
33.7,33.8,0.089,1.21
33.8,30.3,0.09,1.1
24,20.6,0.045,0.39
26.4,28.5,0.055,0.63
21.9,19.4,0.038,0.31
26.6,27.8,0.056,0.63
35.9,35.7,0.101,1.44
23.9,20.5,0.045,0.38
34,37.2,0.091,1.34
37.9,22.3,0.113,1.04
25.7,16.5,0.052,0.36
28.3,21.2,0.063,0.55
31.1,28.6,0.076,0.88
36.9,38.2,0.107,1.62
16,16.4,0.02,0.14
19.4,20.1,0.03,0.25
20.7,20.8,0.034,0.29
28,17,0.062,0.44
22,24.7,0.038,0.38
26.2,18.7,0.054,0.42
15,19.8,0.018,0.15
23.9,29.7,0.045,0.54
15.4,14,0.019,0.11
29,26.3,0.066,0.71
13,16.5,0.013,0.09
30.3,28.3,0.072,0.83
28.3,26.5,0.063,0.68
26.5,25.8,0.055,0.58
16.9,13.8,0.022,0.13
20.4,28.7,0.033,0.38
26.8,25,0.056,0.58
18.3,21.3,0.026,0.23
30.5,30.3,0.073,0.89
29.3,30.6,0.067,0.83
29.3,28.6,0.067,0.78
19.3,15.6,0.029,0.2
21.7,28.1,0.037,0.42
25.8,23.6,0.052,0.51
21.7,24.9,0.037,0.38
36.6,31.4,0.105,1.33
18,22.5,0.025,0.24
15,12.4,0.018,0.1
29.2,28.7,0.067,0.78
30.1,25.8,0.071,0.75
28.1,28.4,0.062,0.71
18.7,16.9,0.027,0.2
12,23.2,0.011,0.11
19.5,23.4,0.03,0.29
36.4,24.3,0.104,1.04
26.2,26.9,0.054,0.59
24.1,31.3,0.046,0.57
27,25.2,0.057,0.59
16.2,12.2,0.021,0.11
25.9,28,0.053,0.6
24.9,26.3,0.049,0.52
24.3,25.4,0.046,0.48
20.9,18.9,0.034,0.27
27.9,32.1,0.061,0.79
16.2,14.3,0.021,0.13
16.1,19.8,0.02,0.17
14.2,15.1,0.016,0.1
22.6,32,0.04,0.51
27.9,30.4,0.061,0.75
16.6,17.5,0.022,0.16
25.8,22.4,0.052,0.48
22.7,16,0.04,0.28
23,19.5,0.042,0.34
23.3,16.9,0.043,0.31
21.9,17.8,0.038,0.28
27.9,23.3,0.061,0.59
17.4,13.1,0.024,0.14
25.3,16.9,0.05,0.36
17.7,15.1,0.025,0.16
19.3,11.9,0.029,0.15
14.6,13.7,0.017,0.1
25,19,0.049,0.39
11.5,13.6,0.01,0.06
31,21.1,0.075,0.66
22.7,19.4,0.04,0.33
21.7,19,0.037,0.29
22,19.2,0.038,0.31
35,20.3,0.096,0.82
16.6,17.5,0.022,0.16
13,9.7,0.013,0.06
24.8,23.6,0.048,0.47
27,24.3,0.057,0.57
31.5,25.2,0.078,0.8
14.8,9.2,0.017,0.07
26.4,22.5,0.055,0.51
37.5,25.8,0.11,1.17
26.5,24.8,0.055,0.56
20.4,15.9,0.033,0.22
27.3,29,0.059,0.69
16.3,20.7,0.021,0.18
17,17.4,0.023,0.17
16.1,14,0.02,0.12
18.9,22.5,0.028,0.26
22.1,19.5,0.038,0.31
27.1,23.1,0.058,0.55
26.2,21.4,0.054,0.48
22.1,15,0.038,0.25
17.2,17,0.023,0.17
28,24.8,0.062,0.63
13.3,12.7,0.014,0.08
19.6,14.1,0.03,0.18
14.5,16.8,0.017,0.12
16.8,24.3,0.022,0.22
27.7,30,0.06,0.73
16.9,23.8,0.022,0.22
23,30.4,0.042,0.51
21.2,22.4,0.035,0.33
23,22,0.042,0.38
24,19.2,0.045,0.36
22,27.8,0.038,0.43
14,11.5,0.015,0.08
28.5,25.4,0.064,0.66
20.5,22.4,0.033,0.31
25.7,20.7,0.052,0.45
19.1,19.3,0.029,0.23
31.6,33.3,0.078,1.05
23.6,25,0.044,0.45
34,29.1,0.091,1.07
23.5,28.8,0.043,0.5
32.1,25.9,0.081,0.86
30.2,25.7,0.072,0.75
15.3,18.3,0.018,0.14
43.5,36.6,0.149,2.18
23.1,21.5,0.042,0.37
26.1,24.7,0.054,0.54
18.5,20.9,0.027,0.23
26.4,23,0.055,0.52
24.4,24,0.047,0.46
28,29.7,0.062,0.74
30,30.7,0.071,0.87
27.2,36.5,0.058,0.84
14,20.9,0.015,0.13
26.1,35.5,0.054,0.75
29.1,25.2,0.067,0.69
32.6,20.4,0.083,0.71
30.5,13.3,0.073,0.42
31.2,32.2,0.076,0.99
34.6,30.8,0.094,1.17
28.7,23.4,0.065,0.62
28.3,16.5,0.063,0.44
27.2,23.2,0.058,0.56
16.4,11.5,0.021,0.11
19.3,21,0.029,0.26
17,12.4,0.023,0.12
19.1,14.7,0.029,0.18
30.8,30.5,0.075,0.92
22.8,20.3,0.041,0.35
14,17.6,0.015,0.11
28.1,20.6,0.062,0.53
21.3,18.1,0.036,0.27
30.3,29,0.072,0.85
45.4,26.9,0.162,1.78
30,21.9,0.071,0.64
29.2,16.3,0.067,0.46
16.3,13.4,0.021,0.12
25.9,18.5,0.053,0.41
22.7,19.3,0.04,0.33
34.5,30.4,0.093,1.15
27,26.2,0.057,0.61
31.5,21.7,0.078,0.7
29.4,11.3,0.068,0.34
25.1,16.2,0.049,0.34
28,18.1,0.062,0.47
38.4,27,0.116,1.28
41.8,31.9,0.137,1.77
25.8,30.7,0.052,0.64
33.1,37.8,0.086,1.29
28.7,21,0.065,0.56
23.3,28,0.043,0.48
27.8,30.2,0.061,0.74
22.9,24.7,0.041,0.42
30.2,32.3,0.072,0.93
20.5,25.4,0.033,0.34
26.3,33.4,0.054,0.72
24.2,25.9,0.046,0.49
24.6,24.9,0.048,0.48
36.5,28,0.105,1.19
28.5,29,0.064,0.75
31.2,30.8,0.076,0.95
27.9,25.3,0.061,0.63
27.8,31.5,0.061,0.77
27.5,28.6,0.059,0.69
30,31.7,0.071,0.9
34.3,28.4,0.092,1.07
20.7,24,0.034,0.33
33.6,32.1,0.089,1.14
29.6,25.7,0.069,0.72
9.2,13,0.007,0.04
19.2,17.1,0.029,0.21
13.8,12.3,0.015,0.08
27.9,19.7,0.061,0.5
38,34.8,0.113,1.58
29.7,23.5,0.069,0.67
23,32.8,0.042,0.54
31.5,34.7,0.078,1.08
26.9,28,0.057,0.64
24.7,33.3,0.048,0.64
32,37.9,0.08,1.21
31.1,36.3,0.076,1.1
25.5,32.3,0.051,0.66
16.4,18.7,0.021,0.17
25.8,27.4,0.052,0.58
33.6,36.7,0.089,1.29
34.8,30.1,0.095,1.16
30.8,33.6,0.075,1
27.9,33,0.061,0.81
17.8,23.7,0.025,0.24
22.3,20.6,0.039,0.33
14.4,20.1,0.016,0.14
10.5,16.4,0.009,0.06
19.3,30.4,0.029,0.36
17.2,20.4,0.023,0.2
22.3,25.3,0.039,0.4
23.6,25.5,0.044,0.46
25.6,30.9,0.051,0.64
27.1,25.7,0.058,0.61
12.2,15.5,0.012,0.08
21.5,25,0.036,0.37
19.7,23.5,0.03,0.29
20.6,20.4,0.033,0.28
12.7,18.6,0.013,0.1
29.9,30.7,0.07,0.87
23.2,29.7,0.042,0.5
25.5,30.6,0.051,0.63
28.1,26.3,0.062,0.66
28.5,29.4,0.064,0.76
24.5,8.3,0.047,0.18
21.6,21.6,0.037,0.33
16.7,25.8,0.022,0.23
22.3,26.3,0.039,0.42
17.7,20.7,0.025,0.21
9.8,17.4,0.008,0.06
30.4,31.2,0.073,0.91
9.5,16.1,0.007,0.05
10.2,18.4,0.008,0.06
11.2,12,0.01,0.05
32.3,28.8,0.082,0.96
20.7,21.4,0.034,0.3
10.5,12.4,0.009,0.05
11.8,11.5,0.011,0.06
25.9,20.4,0.053,0.45
30.5,27,0.073,0.8
24.5,30.3,0.047,0.57
36.6,29.1,0.105,1.24
23.7,20.6,0.044,0.38
20,24.6,0.031,0.32
29.8,28.6,0.07,0.81
12.9,15.6,0.013,0.09
29,19.3,0.066,0.53
21,23.6,0.035,0.34
12.5,19.8,0.012,0.1
14.3,9.6,0.016,0.07
20.4,24.2,0.033,0.32
9.7,14.3,0.007,0.05
25,22.7,0.049,0.46
21.8,21.5,0.037,0.33
25.5,24.7,0.051,0.52
26,21.6,0.053,0.48
25.8,23,0.052,0.5
31.6,21.4,0.078,0.7
15.7,12.9,0.019,0.11
23.8,23.1,0.044,0.42
25.3,20.4,0.05,0.43
25.3,24.9,0.05,0.51
25.9,17.9,0.053,0.4
23.9,22.2,0.045,0.41
16.3,17.6,0.021,0.16
23.5,26.6,0.043,0.47
21.7,22.3,0.037,0.34
27.2,27.6,0.058,0.65
21.6,16.8,0.037,0.26
22.1,29.4,0.038,0.45
31.5,30.1,0.078,0.95
16.6,20.3,0.022,0.18
23.1,15.7,0.042,0.28
33,33.6,0.086,1.15
22.9,25.6,0.041,0.43
33.9,26.33,0.09,0.97
25.4,30.7,0.051,0.62
25.8,28.4,0.052,0.6
29.3,29.1,0.067,0.79
18.7,22.6,0.027,0.26
26,26.7,0.053,0.58
42.2,27.8,0.14,1.59
28.1,22.4,0.062,0.57
20,14.6,0.031,0.2
24.8,28.5,0.048,0.56
19,21.3,0.028,0.25
27.7,21.6,0.06,0.54
27.4,29.9,0.059,0.71
30.4,26.8,0.073,0.79
17.8,10.2,0.025,0.11
20,22.6,0.031,0.29
27.7,26.1,0.06,0.64
26.7,24,0.056,0.55
28.6,32.4,0.064,0.83
17.8,17.1,0.025,0.18
14,12.5,0.015,0.08
32.7,23.6,0.084,0.82
23.5,29.3,0.043,0.51
32.6,33.6,0.083,1.12
29.3,18.4,0.067,0.52
30.9,21.7,0.075,0.67
19.1,18.5,0.029,0.22
13.4,12.3,0.014,0.08
19.7,18.8,0.03,0.24
35.2,24.1,0.097,0.97
18,23.1,0.025,0.24
27.5,20.6,0.059,0.51
31.6,18.4,0.078,0.61
19.7,15.3,0.03,0.2
13.4,12.3,0.014,0.08
23.7,23.5,0.044,0.43
29.5,28.3,0.068,0.78
15.2,17.8,0.018,0.14
23.8,22.1,0.044,0.41
17.9,18,0.025,0.19
21.8,21.2,0.037,0.33
24.6,29.9,0.048,0.57
25.1,15.1,0.049,0.32
20.2,21.8,0.032,0.29
33.9,26.73,0.09,0.98
13.5,17.5,0.014,0.11
28.7,25.9,0.065,0.68
26,28.5,0.053,0.61
31,25.9,0.075,0.8
41,30.1,0.132,1.61
31.4,31.8,0.077,0.99
29,29.4,0.066,0.78
12.7,20.3,0.013,0.11
28.5,29.1,0.064,0.75
28.2,28.5,0.062,0.72
15.1,18.9,0.018,0.14
25.3,22.3,0.05,0.46
6.1,12.4,0.003,0.02
9.8,12.8,0.008,0.04
13.3,16.2,0.014,0.1
10.4,16.3,0.008,0.06
16.5,13.1,0.021,0.12
14.6,15.8,0.017,0.11
10.1,17,0.008,0.06
17.9,19.8,0.025,0.21
14.3,15.9,0.016,0.11
11.1,13.1,0.01,0.06
6.5,8.7,0.003,0.01
12.6,10,0.012,0.06
4.8,6.2,0.002,0.01
10.7,5.3,0.009,0.03
8.1,5.2,0.005,0.02
10.6,11.7,0.009,0.05
16.4,16.5,0.021,0.15
31.2,22.8,0.076,0.72
18.5,18.6,0.027,0.21
10.8,8.1,0.009,0.04
